Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Sex_I,Sex_M,Rings
0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,False,True,13
0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,True,False,5
0.28,0.21,0.065,0.0905,0.035,0.02,0.03,False,True,5
0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,False,False,10
0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,True,False,6
0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,False,False,13
0.41,0.325,0.12,0.3745,0.158,0.081,0.125,False,True,12
0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,False,True,13
0.525,0.42,0.16,0.756,0.2745,0.173,0.275,False,False,9
0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,False,True,9
0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,False,False,8
0.36,0.27,0.085,0.196,0.0875,0.035,0.064,True,False,4
0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,False,False,11
0.58,0.445,0.15,0.8865,0.383,0.209,0.255,True,False,11
0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,False,False,9
0.735,0.59,0.205,2.087,0.909,0.474,0.625,False,True,12
0.64,0.515,0.08,1.042,0.515,0.1755,0.175,False,True,10
0.645,0.515,0.175,1.546,0.7035,0.365,0.415,False,False,10
0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,True,False,8
0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,False,True,10
0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,True,False,7
0.605,0.475,0.175,1.076,0.463,0.2195,0.335,False,False,9
0.225,0.16,0.045,0.0465,0.025,0.015,0.015,True,False,4
0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,False,True,13
0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,False,True,9
0.495,0.385,0.135,0.709,0.211,0.1375,0.262,False,True,12
0.645,0.505,0.165,1.4325,0.684,0.308,0.336,False,False,8
0.35,0.25,0.07,0.18,0.0655,0.048,0.054,True,False,6
0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,True,False,9
0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,False,True,11
0.275,0.2,0.075,0.086,0.0305,0.019,0.03,True,False,7
0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,True,False,12
0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,True,False,5
0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,False,False,11
0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,False,True,11
0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,True,False,7
0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,False,True,13
0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,False,True,9
0.52,0.405,0.115,0.776,0.32,0.1845,0.22,False,False,8
0.575,0.46,0.155,0.892,0.4415,0.176,0.22,False,True,10
0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,True,False,6
0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,False,False,8
0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,False,True,10
0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,False,False,18
0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,False,False,10
0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,True,False,5
0.575,0.435,0.14,0.8455,0.401,0.191,0.222,False,True,9
0.465,0.375,0.11,0.5,0.21,0.113,0.1505,False,True,8
0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,False,True,16
0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,False,False,12
0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,True,False,9
0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385,False,True,11
0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,False,False,14
0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,True,False,11
0.625,0.48,0.18,1.223,0.565,0.2975,0.3375,False,True,10
0.5,0.42,0.125,0.62,0.255,0.15,0.205,False,True,11
0.705,0.53,0.17,1.564,0.612,0.394,0.44,False,False,10
0.655,0.545,0.185,1.759,0.6865,0.313,0.547,False,False,11
0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,False,True,16
0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,False,True,8
0.475,0.37,0.125,0.655,0.266,0.1725,0.185,False,True,10
0.335,0.265,0.105,0.222,0.0935,0.056,0.075,False,True,7
0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,True,False,6
0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575,True,False,6
0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,False,False,17
0.515,0.4,0.12,0.659,0.2705,0.179,0.17,True,False,13
0.285,0.215,0.06,0.0935,0.031,0.023,0.03,True,False,6
0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,True,False,8
0.625,0.52,0.18,1.354,0.4845,0.351,0.375,False,False,11
0.595,0.495,0.235,1.366,0.5065,0.219,0.52,False,False,13
0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,False,True,9
0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,True,False,10
0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,True,False,9
0.62,0.485,0.165,1.166,0.483,0.238,0.355,False,False,13
0.505,0.405,0.11,0.625,0.305,0.16,0.175,False,True,9
0.31,0.225,0.075,0.155,0.065,0.037,0.0365,True,False,6
0.465,0.355,0.11,0.474,0.23,0.1005,0.12,True,False,7
0.58,0.465,0.175,1.035,0.401,0.1865,0.385,False,True,17
0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,False,True,15
0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,True,False,4
0.63,0.465,0.15,1.0315,0.4265,0.24,0.325,True,False,11
0.5,0.39,0.145,0.651,0.273,0.132,0.22,False,True,11
0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,False,True,8
0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,False,True,10
0.685,0.53,0.17,1.56,0.647,0.383,0.465,False,True,11
0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,True,False,7
0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,False,True,8
0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,True,False,7
0.595,0.495,0.185,1.285,0.416,0.224,0.485,False,False,13
0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,True,False,7
0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,True,False,7
0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,False,False,11
0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,False,True,8
0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875,False,False,13
0.615,0.455,0.13,0.9685,0.49,0.182,0.2655,False,True,10
0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,False,False,9
0.69,0.55,0.2,1.569,0.687,0.3675,0.46,False,False,12
0.395,0.3,0.09,0.253,0.1155,0.05,0.075,True,False,6
0.46,0.355,0.13,0.517,0.2205,0.114,0.165,False,False,9
0.565,0.44,0.15,0.863,0.435,0.149,0.27,False,False,9
0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,True,False,8
0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,True,False,7
0.39,0.28,0.09,0.215,0.0845,0.034,0.079,True,False,8
0.47,0.4,0.16,0.51,0.1615,0.073,0.198,True,False,14
0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,False,False,8
0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,False,True,10
0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,False,False,12
0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,True,False,7
0.35,0.265,0.11,0.209,0.066,0.059,0.075,True,False,9
0.36,0.275,0.095,0.217,0.084,0.0435,0.09,True,False,7
0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,True,False,7
0.555,0.43,0.15,0.783,0.345,0.1755,0.247,True,False,9
0.46,0.365,0.115,0.4485,0.165,0.083,0.17,False,False,14
0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,True,False,12
0.63,0.465,0.15,1.027,0.537,0.188,0.176,False,True,8
0.35,0.26,0.09,0.198,0.0725,0.056,0.06,False,True,10
0.64,0.49,0.155,1.1285,0.477,0.269,0.34,False,True,9
0.41,0.31,0.11,0.315,0.124,0.082,0.095,True,False,9
0.585,0.46,0.14,0.7635,0.326,0.153,0.265,True,False,9
0.475,0.375,0.11,0.456,0.182,0.099,0.16,True,False,9
0.51,0.4,0.14,0.6905,0.259,0.151,0.23,False,True,10
0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,True,False,7
0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,False,True,10
0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,False,False,11
0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,True,False,5
0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,False,True,10
0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,False,True,14
0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,True,False,7
0.63,0.515,0.155,1.259,0.4105,0.197,0.41,False,True,13
0.63,0.48,0.165,1.286,0.604,0.271,0.35,False,True,8
0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,False,False,8
0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,False,True,10
0.485,0.38,0.14,0.673,0.2175,0.13,0.195,True,False,18
0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,False,True,10
0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,False,False,16
0.75,0.61,0.235,2.5085,1.232,0.519,0.612,False,False,14
0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645,False,False,13
0.62,0.495,0.175,1.806,0.643,0.3285,0.725,False,True,17
0.485,0.375,0.13,0.5535,0.266,0.112,0.157,True,False,8
0.415,0.325,0.1,0.385,0.167,0.08,0.125,True,False,7
0.35,0.26,0.075,0.18,0.09,0.0245,0.055,True,False,5
0.29,0.225,0.07,0.101,0.036,0.0235,0.035,True,False,8
0.315,0.23,0.07,0.164,0.0625,0.04,0.045,True,False,6
0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,True,False,5
0.6,0.45,0.145,0.877,0.4325,0.155,0.24,False,True,9
0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,False,True,12
0.475,0.365,0.115,0.566,0.281,0.117,0.1335,False,False,7
0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,True,False,9
0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,False,True,10
0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,True,False,8
0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,False,False,8
0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,True,False,9
0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,False,False,12
0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,False,False,8
0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,True,False,10
0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,True,False,11
0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,False,False,12
0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,True,False,9
0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,False,True,9
0.47,0.36,0.135,0.501,0.1665,0.115,0.165,False,True,10
0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,True,False,7
0.37,0.28,0.095,0.2655,0.122,0.052,0.08,True,False,7
0.71,0.555,0.17,1.47,0.5375,0.38,0.431,False,False,12
0.425,0.315,0.08,0.303,0.131,0.0585,0.095,True,False,7
0.515,0.39,0.14,0.678,0.341,0.1325,0.119,False,True,8
0.375,0.245,0.1,0.394,0.166,0.091,0.1125,True,False,6
0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,False,False,6
0.59,0.49,0.135,1.008,0.422,0.2245,0.285,False,True,11
0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,True,False,12
0.58,0.46,0.15,1.0165,0.491,0.221,0.265,False,True,9
0.635,0.51,0.185,1.308,0.544,0.318,0.377,False,True,8
0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,False,True,9
0.53,0.385,0.125,0.6695,0.289,0.151,0.18,False,False,10
0.615,0.455,0.135,1.059,0.4735,0.263,0.274,False,False,9
0.515,0.395,0.14,0.686,0.281,0.1255,0.22,False,False,12
0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,False,True,10
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,False,True,15
0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,False,True,6
0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,False,True,12
0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,True,False,8
0.41,0.325,0.1,0.3245,0.132,0.072,0.106,True,False,6
0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,True,False,9
0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,False,True,6
0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,True,False,8
0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,True,False,5
0.52,0.375,0.135,0.5375,0.221,0.117,0.17,False,False,8
0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,True,False,8
0.735,0.585,0.185,2.124,0.952,0.55,0.5,False,True,11
0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,True,False,7
0.595,0.47,0.25,1.283,0.462,0.2475,0.445,False,False,14
0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,False,False,10
0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,False,True,10
0.585,0.47,0.165,1.409,0.8,0.229,0.295,False,True,10
0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,False,False,11
0.635,0.525,0.205,1.484,0.55,0.3115,0.43,False,True,20
0.48,0.365,0.12,0.6015,0.312,0.117,0.14,False,True,7
0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,True,False,8
0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,True,False,9
0.63,0.47,0.145,1.1005,0.52,0.26,0.276,False,True,9
0.645,0.515,0.16,1.1845,0.506,0.311,0.335,False,True,9
0.57,0.445,0.15,0.995,0.504,0.185,0.2505,False,False,9
0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,True,False,9
0.245,0.175,0.055,0.0785,0.04,0.018,0.02,True,False,5
0.515,0.405,0.13,0.722,0.32,0.131,0.21,False,True,10
0.57,0.45,0.155,1.1935,0.513,0.21,0.343,False,True,10
0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,True,False,8
0.655,0.515,0.16,1.31,0.553,0.369,0.345,False,True,11
0.545,0.42,0.125,0.717,0.358,0.112,0.22,True,False,8
0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,False,True,13
0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,False,True,6
0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,False,False,7
0.725,0.56,0.185,1.792,0.873,0.367,0.435,False,False,11
0.555,0.42,0.14,0.868,0.33,0.243,0.21,False,False,13
0.555,0.44,0.15,0.838,0.4155,0.146,0.23,False,True,8
0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,False,True,12
0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,False,False,11
0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,False,True,9
0.56,0.46,0.18,0.97,0.342,0.196,0.355,False,False,12
0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,True,False,6
0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,True,False,6
0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,True,False,8
0.515,0.395,0.12,0.646,0.285,0.1365,0.172,False,True,9
0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,True,False,13
0.425,0.34,0.1,0.382,0.164,0.096,0.1,True,False,6
0.595,0.47,0.135,0.9365,0.434,0.184,0.287,True,False,10
0.425,0.33,0.08,0.361,0.134,0.0825,0.125,False,True,7
0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,False,True,7
0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,True,False,5
0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,False,True,12
0.475,0.365,0.115,0.499,0.232,0.0885,0.156,True,False,10
0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,True,False,7
0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,False,True,8
0.655,0.54,0.215,1.5555,0.695,0.296,0.444,False,False,11
0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,False,True,10
0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,False,False,8
0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,False,False,13
0.27,0.205,0.075,0.118,0.059,0.031,0.0305,True,False,4
0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,True,False,8
0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,True,False,8
0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,False,True,9
0.64,0.5,0.175,1.394,0.4935,0.291,0.4,False,False,10
0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,False,True,9
0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,False,False,8
0.39,0.3,0.105,0.259,0.0955,0.038,0.085,True,False,8
0.585,0.465,0.14,0.908,0.381,0.1615,0.315,False,False,13
0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,False,False,9
0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,False,True,10
0.635,0.505,0.17,1.415,0.605,0.297,0.365,False,False,15
0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,False,True,11
0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,False,True,12
0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,False,False,10
0.58,0.47,0.165,1.041,0.54,0.166,0.279,False,True,9
0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,False,False,10
0.59,0.47,0.145,0.974,0.453,0.236,0.289,True,False,8
0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,True,False,11
0.545,0.415,0.2,1.358,0.567,0.318,0.403,False,False,10
0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,False,True,9
0.185,0.135,0.045,0.032,0.011,0.0065,0.01,True,False,4
0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,False,False,12
0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,False,True,10
0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,False,False,9
0.475,0.35,0.11,0.4565,0.206,0.099,0.13,True,False,6
0.525,0.41,0.15,0.708,0.274,0.151,0.25,False,False,12
0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,False,True,11
0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,False,True,11
0.585,0.455,0.225,1.055,0.3815,0.221,0.365,False,True,15
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,False,False,16
0.435,0.35,0.125,0.459,0.197,0.1145,0.145,False,False,9
0.38,0.28,0.085,0.2735,0.115,0.061,0.085,True,False,6
0.33,0.265,0.09,0.18,0.068,0.036,0.06,True,False,6
0.65,0.515,0.215,1.498,0.564,0.323,0.425,False,False,16
0.49,0.385,0.14,0.5425,0.198,0.127,0.175,True,False,11
0.565,0.465,0.175,0.995,0.3895,0.183,0.37,False,True,15
0.65,0.52,0.195,1.676,0.693,0.44,0.47,False,True,15
0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,False,False,23
0.55,0.44,0.165,0.8605,0.312,0.169,0.3,True,False,17
0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,False,False,10
0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,False,False,10
0.39,0.285,0.1,0.281,0.1275,0.062,0.077,True,False,7
0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,False,True,10
0.475,0.355,0.12,0.48,0.234,0.1015,0.135,False,True,8
0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,False,True,16
0.565,0.45,0.115,0.9085,0.398,0.197,0.29,False,True,17
0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,False,True,11
0.485,0.355,0.12,0.5085,0.21,0.122,0.135,True,False,9
0.37,0.275,0.1,0.2225,0.093,0.026,0.08,False,False,8
0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,True,False,7
0.505,0.385,0.15,0.6415,0.246,0.152,0.215,False,True,12
0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,True,False,6
0.57,0.44,0.19,1.018,0.447,0.207,0.265,False,False,9
0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,True,False,7
0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,True,False,6
0.585,0.45,0.135,0.855,0.3795,0.187,0.26,True,False,9
0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,True,False,6
0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,False,False,7
0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,False,True,15
0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,True,False,6
0.485,0.4,0.135,0.663,0.313,0.137,0.2,False,True,10
0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,True,False,8
0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,True,False,8
0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,False,False,8
0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,False,False,15
0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,False,False,10
0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,False,True,11
0.615,0.485,0.215,0.9615,0.422,0.176,0.29,False,True,11
0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,False,False,12
0.45,0.35,0.14,0.474,0.21,0.109,0.1275,True,False,16
0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,False,False,12
0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,False,True,13
0.485,0.415,0.14,0.5705,0.25,0.134,0.185,True,False,8
0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,False,True,12
0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,False,False,10
0.48,0.38,0.145,0.59,0.232,0.141,0.23,False,False,12
0.545,0.42,0.12,0.7865,0.403,0.185,0.17,False,True,7
0.7,0.565,0.18,1.751,0.895,0.3355,0.446,False,True,9
0.57,0.45,0.14,0.795,0.3385,0.148,0.245,False,True,9
0.475,0.375,0.11,0.494,0.211,0.109,0.1545,True,False,8
0.57,0.44,0.15,0.755,0.3425,0.16,0.224,True,False,8
0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,False,False,11
0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,False,False,7
0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,False,False,9
0.615,0.45,0.15,1.198,0.707,0.2095,0.2505,False,True,7
0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,True,False,7
0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,False,True,8
0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,False,False,12
0.315,0.21,0.06,0.125,0.06,0.0375,0.035,True,False,5
0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,False,False,13
0.225,0.17,0.05,0.0515,0.019,0.012,0.017,True,False,4
0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,True,False,8
0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,False,False,8
0.59,0.455,0.155,1.066,0.382,0.2275,0.415,False,False,20
0.395,0.305,0.105,0.282,0.0975,0.065,0.096,False,True,9
0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,False,True,9
0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,True,False,9
0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,False,False,11
0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,False,False,11
0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,False,True,9
0.665,0.52,0.175,1.3725,0.606,0.32,0.395,False,True,12
0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,False,True,8
0.42,0.33,0.1,0.352,0.1635,0.089,0.1,True,False,9
0.55,0.465,0.15,0.936,0.481,0.174,0.2435,True,False,9
0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,True,False,9
0.425,0.325,0.11,0.317,0.135,0.048,0.09,True,False,8
0.65,0.51,0.185,1.375,0.531,0.384,0.3985,False,False,10
0.47,0.375,0.12,0.5565,0.226,0.122,0.195,False,True,12
0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,False,True,8
0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,False,False,16
0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,False,True,7
0.56,0.435,0.13,0.777,0.354,0.173,0.222,True,False,9
0.525,0.395,0.165,0.782,0.285,0.1405,0.285,False,True,19
0.51,0.4,0.125,0.545,0.261,0.115,0.1385,False,False,6
0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,True,False,9
0.615,0.475,0.17,1.129,0.4795,0.302,0.3,False,True,10
